Type,Trans Date,Post Date,Description,Amount
Sale,01/13/2018,01/14/2018,JINYA RAMEN BAR BU,-12.43
Sale,01/13/2018,01/15/2018,TARGET        00021717,-54.06
Sale,01/12/2018,01/12/2018,CURRY VILLAGE INDIAN RES,-10.27
Sale,01/11/2018,01/12/2018,JOHNNYS NEW YORK STYLE PI,-18.50
Sale,01/11/2018,01/12/2018,DUNKIN #349401 Q35,-3.16
Sale,01/10/2018,01/12/2018,THE HOME DEPOT 1777,-30.68
Sale,01/10/2018,01/12/2018,LA BAMBA MEXICAN BAR &amp; GR,-12.01
Sale,01/10/2018,01/11/2018,SQ *INDEPENDENT BAKING CO,-5.75
Payment,01/08/2018,01/08/2018,Payment Thank You - Web,1373.98
Sale,01/08/2018,01/09/2018,DD/BR #302851 Q35,-3.37
Sale,01/07/2018,01/08/2018,MISSY @ AMORE-PKVG,-37.10
Sale,01/07/2018,01/09/2018,TREE STORY BAKERY &amp; CAFE,-8.61
Sale,01/06/2018,01/07/2018,WALGREENS #5898,-12.27
Sale,01/04/2018,01/05/2018,PUBLIX #1077,-9.20
Sale,01/03/2018,01/05/2018,LA BAMBA MEXICAN BAR &amp; GR,-12.11
Sale,01/03/2018,01/05/2018,ROCKLER 41,-4.94
Sale,01/02/2018,01/04/2018,THE HOME DEPOT #1777,-104.94
